Company_Name,Talk_E,Talk_S,Talk_G,Walk_E,Walk_S,Walk_G,Gap_E,Gap_S,Gap_G,Final_E,Final_S,Final_G,Final_ESG_Score,Confidence_Level,Risk_Flag
TRIDENT LTD,0.7411,0.5543,0.5672999999999999,1.0,0.3317,0.7686,-0.2589,0.22260000000000002,-0.20130000000000003,0.8964399999999999,0.36509,0.6880799999999999,66.96315,High,High Volatility
DCM SHRIRAM LTD,0.9059,0.773,0.8795999999999999,0.9964,0.0,0.7377,-0.09049999999999991,0.773,0.14189999999999992,0.9601999999999999,0.11595000000000003,0.758985,63.817875,High,Greenwashing Risk | High Volatility
TATA POWER CO LTD,0.6858,0.5885,0.6154999999999999,0.4738,1.0,0.6933,0.21199999999999997,-0.4115,-0.07780000000000009,0.5056,0.8354,0.66218,63.6983,High,High Volatility
HDFC BANK LIMITED,0.1,0.1,0.1,1.0,1.0,1.0,-0.9,-0.9,-0.9,0.64,0.64,0.64,63.0,High,High Volatility | Low Disclosure
ICICI BANK LTD,0.1,0.1,0.1,1.0,1.0,1.0,-0.9,-0.9,-0.9,0.64,0.64,0.64,63.0,High,High Volatility | Low Disclosure
INFOSYS LTD,0.1,0.1,0.1,1.0,1.0,1.0,-0.9,-0.9,-0.9,0.64,0.64,0.64,63.0,High,High Volatility | Low Disclosure
STATE BANK OF INDIA,0.1,0.1,0.1,1.0,1.0,1.0,-0.9,-0.9,-0.9,0.64,0.64,0.64,63.0,High,High Volatility | Low Disclosure
LIFE INSURANCE CORPORATION,0.1,0.1,0.1,0.9847,1.0,1.0,-0.8847,-0.9,-0.9,0.63082,0.64,0.64,62.59608,High,High Volatility | Low Disclosure
INDIAN BANK,0.1,0.1,0.1,1.0,1.0,0.9718,-0.9,-0.9,-0.8718,0.64,0.64,0.62308,62.577,High,High Volatility | Low Disclosure
VEDANTA LTD,0.1,0.1,0.1,1.0,0.9584,1.0,-0.9,-0.8584,-0.9,0.64,0.61504,0.64,62.22624,High,High Volatility | Low Disclosure
STEEL AUTHORITY OF INDIA,0.1,0.1,0.1,1.0,0.951,1.0,-0.9,-0.851,-0.9,0.64,0.6106,0.64,62.08860000000001,High,High Volatility | Low Disclosure
BRIGADE ENTERPRISES LTD,0.7879,0.6296,0.6823,1.0,0.6603,0.0,-0.21209999999999996,-0.03069999999999995,0.6823,0.91516,0.64802,0.10234499999999999,61.91428500000001,High,Greenwashing Risk | High Volatility
MARICO LTD,0.6995,0.5649000000000001,0.769,0.5256,0.5056,1.0,0.17390000000000005,0.05930000000000002,-0.23099999999999998,0.5516849999999999,0.514495,0.9076,61.913484999999994,High,High Volatility
POWER GRID CORP OF INDIA LTD,0.1,0.1,0.1,1.0,0.9267,1.0,-0.9,-0.8267,-0.9,0.64,0.59602,0.64,61.63662,High,High Volatility | Low Disclosure
BIRLASOFT LTD,0.7756000000000001,0.8212999999999999,0.8773000000000001,0.7421,0.0473,1.0,0.033500000000000085,0.7739999999999999,-0.12269999999999992,0.747125,0.16340000000000002,0.95092,60.7119,High,Greenwashing Risk | High Volatility
AXIS BANK LTD,0.1,0.1,0.1,1.0,0.8563,1.0,-0.9,-0.7563,-0.9,0.64,0.5537799999999999,0.64,60.327180000000006,High,High Volatility | Low Disclosure
TATA CONSULTANCY SVCS LTD,0.1,0.1,0.1,1.0,1.0,0.7441,-0.9,-0.9,-0.6441,0.64,0.64,0.48646,59.161500000000004,High,High Volatility | Low Disclosure
UNION BANK OF INDIA,0.1,0.1,0.1,0.8285,1.0,1.0,-0.7285,-0.9,-0.9,0.5371,0.64,0.64,58.4724,High,High Volatility | Low Disclosure
TECH MAHINDRA LTD,0.8297,0.5811999999999999,0.7911,1.0,0.087,0.4774,-0.1703,0.4942,0.31370000000000003,0.93188,0.16113,0.5244550000000001,58.109125000000006,High,High Volatility
TITAN CO LTD,0.1,0.1,0.1,1.0,1.0,0.6628,-0.9,-0.9,-0.5628,0.64,0.64,0.43767999999999996,57.94199999999999,High,High Volatility | Low Disclosure
INDUS TOWERS LTD,0.5364,0.48619999999999997,0.7398,0.916,0.0,1.0,-0.37960000000000005,0.48619999999999997,-0.2602,0.76416,0.07293,0.89592,57.281870000000005,High,High Volatility
JINDAL STEEL LTD,0.7770999999999999,0.39189999999999997,0.5111,0.2986,0.9186,0.981,0.4784999999999999,-0.5267,-0.4699,0.370375,0.70792,0.79304,57.06802,High,High Volatility
WIPRO LTD,0.1,0.1,0.1,0.8377,1.0,0.8418,-0.7377,-0.9,-0.7418,0.54262,0.64,0.54508,56.34228,High,High Volatility | Low Disclosure
CUMMINS INDIA LTD,0.1,0.1,0.1,1.0,1.0,0.5558,-0.9,-0.9,-0.4558,0.64,0.64,0.3734799999999999,56.336999999999996,High,High Volatility | Low Disclosure
INOX INDIA LTD,0.3797,0.30269999999999997,0.6161,1.0,0.0,1.0,-0.6203000000000001,0.30269999999999997,-0.3839,0.75188,0.045405,0.84644,54.651275,High,High Volatility
INDIAN OIL CORP LTD,0.1,0.1,0.1,0.6523,1.0,1.0,-0.5523,-0.9,-0.9,0.43138,0.64,0.64,53.82072,High,High Volatility | Low Disclosure
ITC HOTELS LIMITED,0.9075,0.5509000000000001,0.8184,1.0,0.0,0.3202,-0.09250000000000003,0.5509000000000001,0.49820000000000003,0.963,0.08263500000000001,0.39493000000000006,53.806935,High,Greenwashing Risk | High Volatility
PUNJAB NATIONAL BANK,0.5191,0.2982,0.4296,0.2563,1.0,1.0,0.26280000000000003,-0.7018,-0.5704,0.29572,0.71928,0.77184,53.605360000000005,High,High Volatility
AU SMALL FINANCE BANK LTD,0.1,0.1,0.1,1.0,0.4637,1.0,-0.9,-0.3637,-0.9,0.64,0.31821999999999995,0.64,53.02482,High,High Volatility | Low Disclosure
BANK OF BARODA,0.1,0.1,0.1,1.0,0.6989,0.6839,-0.9,-0.5989,-0.5839,0.64,0.45933999999999997,0.45033999999999996,52.65804000000001,High,High Volatility | Low Disclosure
CHALET HOTELS LTD,0.5889,0.7094,0.7165,1.0,0.1434,0.3273,-0.4111,0.5660000000000001,0.38920000000000005,0.83556,0.2283,0.38567999999999997,52.48394,High,Greenwashing Risk | High Volatility
BLS INTERNATIONAL LTD,0.6265999999999999,0.7864,0.8286,0.0,0.8949,0.9733,0.6265999999999999,-0.10850000000000004,-0.14470000000000005,0.09398999999999999,0.8514999999999999,0.9154200000000001,52.417559999999995,High,Greenwashing Risk | High Volatility
NLC INDIA LTD,0.6524,0.3747,0.4817,0.1617,1.0,1.0,0.49069999999999997,-0.6253,-0.5183,0.23530500000000004,0.74988,0.79268,52.416700000000006,High,High Volatility
USHA MARTIN LTD,0.8706999999999999,0.7628,0.8109999999999999,0.5437,0.0,1.0,0.32699999999999996,0.7628,-0.18900000000000006,0.5927499999999999,0.11442000000000005,0.9244,51.73802,High,Greenwashing Risk | High Volatility
IDBI BANK LTD,0.7737999999999999,0.47240000000000004,0.7831999999999999,0.0,1.0,1.0,0.7737999999999999,-0.5276,-0.2168000000000001,0.11607000000000003,0.78896,0.91328,51.39684,High,Greenwashing Risk | High Volatility
RBL BANK LTD,0.7193,0.5679,0.6158,0.0,1.0,1.0,0.7193,-0.43210000000000004,-0.3842,0.10789500000000002,0.82716,0.84632,50.547340000000005,High,Greenwashing Risk | High Volatility
PFIZER LIMITED,0.1,0.1,0.1,1.0,0.3958,0.9072,-0.9,-0.29579999999999995,-0.8072,0.64,0.27747999999999995,0.5843200000000001,50.36988,High,High Volatility | Low Disclosure
OLA ELECTRIC MOBILITY LTD,0.8187000000000001,0.45840000000000003,0.6495000000000001,0.0,1.0,1.0,0.8187000000000001,-0.5416,-0.3504999999999999,0.12280500000000003,0.7833600000000001,0.8598,50.18258,High,Greenwashing Risk | High Volatility
JINDAL STAINLESS LTD,0.7605,0.7447,0.8107,1.0,0.1856,0.0,-0.23950000000000005,0.5591,0.8107,0.9042,0.26946500000000007,0.12160500000000002,50.17834,High,Greenwashing Risk | High Volatility
APOLLO TYRES LTD,0.1,0.1,0.1,1.0,0.6951,0.4896,-0.9,-0.5951000000000001,-0.38959999999999995,0.64,0.45706,0.33375999999999995,49.67286,High,High Volatility | Low Disclosure
ITI LTD,0.7026,0.38520000000000004,0.46259999999999996,0.0779,1.0,1.0,0.6247,-0.6148,-0.5374000000000001,0.171605,0.75408,0.78504,49.55309999999999,High,Greenwashing Risk | High Volatility
NTPC LTD,0.1,0.1,0.1,0.4741,1.0,1.0,-0.3741,-0.9,-0.9,0.32445999999999997,0.64,0.64,49.11624,High,High Volatility | Low Disclosure
TATA ELXSI LTD,0.7945,0.529,0.6945,1.0,0.0,0.1806,-0.20550000000000002,0.529,0.5139,0.9178,0.07935,0.257685,48.285174999999995,High,Greenwashing Risk | High Volatility
OIL INDIA LTD,0.1,0.1,0.1,1.0,0.1706,1.0,-0.9,-0.0706,-0.9,0.64,0.14236,0.64,47.57316,High,High Volatility | Low Disclosure
HINDUSTAN ZINC LTD,0.1,0.1,0.1,0.6312,0.6492,1.0,-0.5312,-0.5492,-0.9,0.41872,0.42952,0.64,46.738800000000005,High,High Volatility | Low Disclosure
BHARTI AIRTEL LTD,0.1,0.1,0.1,1.0,0.1211,1.0,-0.9,-0.021099999999999994,-0.9,0.64,0.11266000000000001,0.64,46.652460000000005,High,High Volatility | Low Disclosure
BANDHAN BANK LTD,0.6459,0.6711,0.7223999999999999,0.4757,0.0,1.0,0.17020000000000002,0.6711,-0.27760000000000007,0.5012300000000001,0.100665,0.88896,46.398735,High,Greenwashing Risk | High Volatility
PIRAMAL PHARMA LTD,0.6174000000000001,0.6168,0.5527000000000001,0.5305,0.0,1.0,0.08690000000000009,0.6168,-0.4472999999999999,0.543535,0.09252000000000002,0.82108,46.31066,High,Greenwashing Risk | High Volatility
GRAPHITE INDIA LTD,0.8645999999999999,0.6172,0.6225999999999999,1.0,0.0,0.0,-0.13540000000000008,0.6172,0.6225999999999999,0.94584,0.09258,0.09339,45.821690000000004,High,Greenwashing Risk | High Volatility
PCBL CHEMICAL LTD,0.8079999999999999,0.7058,0.7768,1.0,0.0,0.0,-0.19200000000000006,0.7058,0.7768,0.9232,0.10587000000000002,0.11652000000000004,45.81577,High,Greenwashing Risk | High Volatility
NMDC LTD,0.1,0.1,0.1,0.3268,1.0,1.0,-0.22679999999999997,-0.9,-0.9,0.23607999999999998,0.64,0.64,45.22752,High,High Volatility | Low Disclosure
CANARA BANK,0.1,0.1,0.1,0.3254,1.0,1.0,-0.22540000000000002,-0.9,-0.9,0.23524,0.64,0.64,45.190560000000005,High,High Volatility | Low Disclosure
LODHA DEVELOPERS LTD,0.7631999999999999,0.6217,0.8020999999999999,0.3932,0.0,1.0,0.3699999999999999,0.6217,-0.19790000000000008,0.44870000000000004,0.093255,0.92084,44.654705,High,Greenwashing Risk | High Volatility
ULTRATECH CEMENT LTD,0.1,0.1,0.1,0.9832,0.6612,0.2188,-0.8832,-0.5612,-0.11879999999999999,0.62992,0.43672,0.17128,44.5368,High,High Volatility | Low Disclosure
SWIGGY LTD,0.7337,0.7175,0.8458,0.0045,1.0,0.4561,0.7292000000000001,-0.2825,0.3897,0.11387999999999998,0.887,0.514555,44.371595,High,Greenwashing Risk | High Volatility
SOLAR INDUSTRIES INDIA LTD,0.1,0.1,0.1,0.5235,1.0,0.5807,-0.4235,-0.9,-0.4807,0.35409999999999997,0.64,0.38842,44.1309,High,High Volatility | Low Disclosure
SJVN LTD,0.1,0.1,0.1,0.7432,0.3449,1.0,-0.6432,-0.24489999999999998,-0.9,0.48592,0.24694,0.64,44.03562,High,High Volatility | Low Disclosure
VODAFONE IDEA LTD,0.1,0.1,0.1,1.0,0.0022,1.0,-0.9,0.09780000000000001,-0.9,0.64,0.016870000000000007,0.64,43.68297,High,High Volatility | Low Disclosure
ADANI POWER LTD,0.1,0.1,0.1,1.0,0.0,1.0,-0.9,0.1,-0.9,0.64,0.015000000000000006,0.64,43.625,High,High Volatility | Low Disclosure
COAL INDIA LTD,0.1,0.1,0.1,0.2614,1.0,1.0,-0.16140000000000002,-0.9,-0.9,0.19684000000000001,0.64,0.64,43.50096,High,High Volatility | Low Disclosure
GODAWARI POWER AND ISPAT LTD,0.6960999999999999,0.5146000000000001,0.7016,0.3282,1.0,0.0,0.36789999999999995,-0.48539999999999994,0.7016,0.383385,0.80584,0.10524,43.480979999999995,High,Greenwashing Risk | High Volatility
LINDE INDIA LTD,0.1,0.1,0.1,0.2711,0.9096,1.0,-0.1711,-0.8096,-0.9,0.20266,0.58576,0.64,42.0756,High,High Volatility | Low Disclosure
MINDA CORP LTD,0.1,0.1,0.1,0.8909,0.0484,1.0,-0.7909,0.05160000000000001,-0.9,0.57454,0.05614,0.64,42.020100000000006,High,High Volatility | Low Disclosure
CRISIL LTD,0.4595,0.4932,0.8875,0.5911,0.0,0.5894,-0.13159999999999994,0.4932,0.2980999999999999,0.5384599999999999,0.07398,0.634115,41.838494999999995,High,No Risk
INFO EDGE INDIA LTD,0.7408,0.564,0.7467,0.0,0.4693,1.0,0.7408,0.09469999999999995,-0.25329999999999997,0.11112000000000002,0.48350499999999996,0.8986799999999999,41.34493499999999,High,Greenwashing Risk | High Volatility
EMAMI LTD,0.7027,0.4926,0.5242,0.0,0.7621,0.7992,0.7027,-0.2695,-0.275,0.105405,0.6543,0.6892,41.15112,High,Greenwashing Risk | High Volatility
GODREJ AGROVET LTD,0.7168000000000001,0.605,0.7345999999999999,0.322,0.0,1.0,0.3948000000000001,0.605,-0.2654000000000001,0.38122,0.09075,0.89384,40.93293,High,Greenwashing Risk | High Volatility
JSW STEEL LTD,0.1,0.1,0.1,0.145,0.992,1.0,-0.044999999999999984,-0.892,-0.9,0.127,0.6352,0.64,40.2792,High,High Volatility | Low Disclosure
HYUNDAI MOTOR INDIA LTD,0.1,0.1,0.1,0.436,0.7175,0.6895,-0.33599999999999997,-0.6175,-0.5895,0.3016,0.47050000000000003,0.4537,39.1984,High,Low Disclosure
KIRLOSKAR BROTHERS LTD,0.8306999999999999,0.5141,0.609,0.6361,0.0,0.2378,0.19459999999999988,0.5141,0.3712,0.66529,0.07711500000000002,0.29348,39.000325000000004,High,Greenwashing Risk
UNITED SPIRITS LTD,0.1,0.1,0.1,0.8248,0.0,1.0,-0.7248,0.1,-0.9,0.53488,0.015000000000000006,0.64,38.99972,High,High Volatility | Low Disclosure
BANK OF INDIA,0.1,0.1,0.1,0.0834,1.0,1.0,0.016600000000000004,-0.9,-0.9,0.08589000000000001,0.64,0.64,38.61916,High,High Volatility | Low Disclosure
GRANULES INDIA LTD,0.5945,0.5191,0.8556999999999999,0.6898,0.0,0.1788,-0.09529999999999994,0.5191,0.6769,0.65168,0.07786500000000002,0.280335,38.09611,High,Greenwashing Risk
NBCC INDIA LTD,0.6762,0.6417,0.5446,0.7263,0.054,0.0097,-0.05009999999999992,0.5877,0.5348999999999999,0.7062599999999999,0.142155,0.08993500000000001,37.730619999999995,High,Greenwashing Risk
WAAREE ENERGIES LTD,0.1,0.1,0.1,0.7685,0.0,1.0,-0.6685,0.1,-0.9,0.5011,0.015000000000000006,0.64,37.5134,High,High Volatility | Low Disclosure
CITY UNION BANK LTD,0.6546,0.45899999999999996,0.5849,0.0,0.5052,0.8667,0.6546,-0.04620000000000002,-0.28180000000000005,0.09819000000000003,0.48672,0.7539800000000001,37.25818,High,Greenwashing Risk | High Volatility
BLUE DART EXPRESS LTD,0.4839,0.4217,0.9083,0.904,0.0,0.0,-0.42010000000000003,0.4217,0.9083,0.73596,0.06325500000000002,0.13624500000000003,36.749269999999996,High,Greenwashing Risk | High Volatility
BSE LTD,0.6015,0.38799999999999996,0.551,0.3048,0.0,1.0,0.2967,0.38799999999999996,-0.44899999999999995,0.3493050000000001,0.058200000000000016,0.8204,36.683620000000005,High,High Volatility
HINDALCO INDUSTRIES LTD,0.1,0.1,0.1,0.0123,1.0,1.0,0.0877,-0.9,-0.9,0.025455000000000005,0.64,0.64,35.96002,High,High Volatility | Low Disclosure
BERGER PAINTS INDIA LTD,0.8284999999999999,0.4022,0.5866,0.5391,0.2211,0.0,0.2893999999999999,0.1811,0.5866,0.5825100000000001,0.248265,0.08799000000000001,35.526405000000004,High,Greenwashing Risk
CEAT LTD,0.1,0.1,0.1,0.5078,0.221,1.0,-0.40780000000000005,-0.121,-0.9,0.34468,0.1726,0.64,35.51652,High,High Volatility | Low Disclosure
BAJAJ FINANCE LTD,0.1,0.1,0.1,0.0,1.0,1.0,0.1,-0.9,-0.9,0.015000000000000006,0.64,0.64,35.5,High,High Volatility | Low Disclosure
IIFL FINANCE LTD,0.5418,0.6486,0.6261,0.0,0.3061,1.0,0.5418,0.34249999999999997,-0.3739,0.08127000000000001,0.357475,0.85044,34.91860500000001,High,Greenwashing Risk | High Volatility
RITES LTD,0.5867,0.4623,0.4365,0.1621,1.0,0.0,0.4246,-0.5377000000000001,0.4365,0.22579000000000002,0.78492,0.065475,34.904154999999996,High,High Volatility
BHARAT FORGE LTD,0.7384999999999999,0.5113,0.8188,0.326,0.0028,0.5735,0.4124999999999999,0.5085,0.24529999999999996,0.387875,0.079075,0.6102950000000001,34.775200000000005,High,Greenwashing Risk
CENTURY PLYBOARDS INDIA LTD,0.6541,0.5811999999999999,0.7648999999999999,0.2908,0.0,0.6488,0.3633,0.5811999999999999,0.11609999999999987,0.3452950000000001,0.08718000000000001,0.6662150000000001,34.550935,High,Greenwashing Risk
HITACHI ENERGY INDIA LTD,0.1,0.1,0.1,0.8761,0.0,0.61,-0.7761,0.1,-0.51,0.56566,0.015000000000000006,0.406,34.50404,High,High Volatility | Low Disclosure
ETERNAL LTD,0.1,0.1,0.1,0.0,1.0,0.8903,0.1,-0.9,-0.7903,0.015000000000000006,0.64,0.57418,33.8545,High,High Volatility | Low Disclosure
YES BANK LTD,0.1,0.1,0.1,0.2657,0.4673,1.0,-0.1657,-0.36729999999999996,-0.9,0.19942,0.32038,0.64,33.70626,High,High Volatility | Low Disclosure
INOX WIND LTD,0.1,0.1,0.1,1.0,0.0,0.3291,-0.9,0.1,-0.2291,0.64,0.015000000000000006,0.23746,33.5615,High,High Volatility | Low Disclosure
TATA CHEMICALS LTD,0.7687999999999999,0.4481,0.8,0.165,0.004,0.7981,0.6037999999999999,0.4441,0.0019000000000000128,0.25557,0.07061500000000002,0.7983850000000001,33.39377,High,Greenwashing Risk
UPL LTD,0.1,0.1,0.1,1.0,0.0185,0.2775,-0.9,0.0815,-0.17750000000000002,0.64,0.030725000000000006,0.20650000000000002,33.274975000000005,High,High Volatility | Low Disclosure
ONE 97 COMMUNICATIONS LTD,0.1,0.1,0.1,0.2854,0.3897,1.0,-0.18539999999999998,-0.28969999999999996,-0.9,0.21123999999999998,0.27381999999999995,0.64,32.782979999999995,High,High Volatility | Low Disclosure
TIMKEN INDIA LTD,0.8178,0.4867,0.439,0.0,0.8522,0.2188,0.8178,-0.36549999999999994,0.2202,0.12267000000000003,0.706,0.25183,32.579229999999995,High,Greenwashing Risk | High Volatility
JINDAL SAW LTD,0.7877,0.5318999999999999,0.4445,0.2281,0.0,0.7913,0.5596,0.5318999999999999,-0.3468,0.31204,0.079785,0.6525799999999999,32.517595,High,Greenwashing Risk
INDIAN OVERSEAS BANK,0.1,0.1,0.1,0.578,0.0,1.0,-0.478,0.1,-0.9,0.3867999999999999,0.015000000000000006,0.64,32.484199999999994,High,High Volatility | Low Disclosure
GAIL INDIA LTD,0.1,0.1,0.1,0.4315,0.1659,1.0,-0.3315,-0.06589999999999999,-0.9,0.29889999999999994,0.13954,0.64,32.47734,High,High Volatility | Low Disclosure
GODREJ PROPERTIES LTD,0.1,0.1,0.1,0.0003,0.8289,1.0,0.09970000000000001,-0.7289,-0.9,0.015255000000000005,0.5373399999999999,0.64,32.32876,High,High Volatility | Low Disclosure
WELSPUN LIVING LTD,0.9007999999999999,0.6713,0.8725,0.0,0.0,1.0,0.9007999999999999,0.6713,-0.12749999999999995,0.13512,0.10069500000000003,0.9490000000000001,31.791825000000003,High,Greenwashing Risk | High Volatility
ZEE ENTERTAINMENT ENTERPRISE,0.6179,0.4559,0.7683,0.3091,0.0,0.5075,0.3088,0.4559,0.26080000000000003,0.35542,0.06838500000000002,0.54662,31.423915,High,No Risk
BEML LTD,0.18100000000000002,0.1057,0.6134000000000001,0.6543,0.0923,0.2672,-0.47329999999999994,0.013400000000000009,0.34620000000000006,0.46498,0.09430999999999999,0.31913,31.360979999999998,High,No Risk
REC LTD,0.1,0.1,0.1,0.2579,0.5598,0.6709,-0.1579,-0.4598,-0.5709000000000001,0.19474000000000002,0.37588,0.44254000000000004,31.28434,High,Low Disclosure
INDIAN HOTELS CO LTD,0.7974,0.7343000000000001,0.713,0.3553,0.0007,0.3518,0.4421,0.7336,0.36119999999999997,0.4216150000000001,0.11074,0.40598,31.133500000000005,High,Greenwashing Risk | High Volatility
BALRAMPUR CHINI MILLS LTD,0.8101,0.6698000000000001,0.7897,0.3237,0.0,0.3457,0.48640000000000005,0.6698000000000001,0.44399999999999995,0.39666,0.10047000000000003,0.4123,30.87511,Medium,Greenwashing Risk
HAVELLS INDIA LTD,0.1,0.1,0.1,0.3291,0.2215,1.0,-0.2291,-0.1215,-0.9,0.23746,0.1729,0.64,30.80814,High,High Volatility | Low Disclosure
JM FINANCIAL LTD,0.6548999999999999,0.5794,0.7877,0.0468,0.0,1.0,0.6081,0.5794,-0.21230000000000004,0.13801499999999997,0.08691000000000002,0.91508,30.643869999999996,High,Greenwashing Risk | High Volatility
KEC INTERNATIONAL LTD,0.1,0.1,0.1,0.771,0.0,0.4617,-0.671,0.1,-0.3617,0.5026,0.015000000000000006,0.31701999999999997,30.504900000000003,High,Low Disclosure
SUMITOMO CHEMICAL INDIA LTD,0.7243,0.6238,0.8083,0.0151,0.0,1.0,0.7092,0.6238,-0.19169999999999998,0.12148000000000003,0.09357000000000001,0.92332,30.32879,High,Greenwashing Risk | High Volatility
SRF LTD,0.1,0.1,0.1,0.4765,0.0197,1.0,-0.37649999999999995,0.08030000000000001,-0.9,0.32589999999999997,0.031745,0.64,30.323694999999997,High,High Volatility | Low Disclosure
NEULAND LABORATORIES LTD,0.848,0.6731999999999999,0.7429000000000001,0.0,0.0,1.0,0.848,0.6731999999999999,-0.2570999999999999,0.1272,0.10097999999999999,0.89716,30.15618,High,Greenwashing Risk | High Volatility
ADANI PORTS AND SPECIAL ECON,0.1,0.1,0.1,0.6412,0.0,0.6595,-0.5412,0.1,-0.5595,0.42472,0.015000000000000006,0.4357,30.04518,High,Low Disclosure
SYNGENE INTERNATIONAL LTD,0.8058,0.6215999999999999,0.7781,0.0,0.0,1.0,0.8058,0.6215999999999999,-0.2219,0.12087,0.09323999999999999,0.91124,29.98972,High,Greenwashing Risk | High Volatility
NATCO PHARMA LTD,0.7491,0.6822,0.6647,0.3683,0.0,0.2509,0.38079999999999997,0.6822,0.41379999999999995,0.4254200000000001,0.10233,0.31297,29.71496000000001,High,Greenwashing Risk
LIC HOUSING FINANCE LTD,0.748,0.5771000000000001,0.7925,0.0,0.0,1.0,0.748,0.5771000000000001,-0.20750000000000002,0.11220000000000002,0.08656500000000003,0.917,29.545315000000006,High,Greenwashing Risk | High Volatility
ICICI LOMBARD GENERAL INSURA,0.1,0.1,0.1,0.0,0.6684,1.0,0.1,-0.5684,-0.9,0.015000000000000006,0.44104,0.64,29.33224,High,High Volatility | Low Disclosure
SAMMAAN CAPITAL LTD,0.7491,0.5594,0.7558,0.0,0.0,1.0,0.7491,0.5594,-0.24419999999999997,0.11236500000000002,0.08391000000000001,0.90232,29.103270000000006,High,Greenwashing Risk | High Volatility
SHRIRAM FINANCE LTD,0.7508,0.5281,0.7628,0.0,0.0,1.0,0.7508,0.5281,-0.23719999999999997,0.11262000000000003,0.07921500000000001,0.90512,29.038945000000005,High,Greenwashing Risk | High Volatility
GODREJ INDUSTRIES LTD,0.7494,0.6053999999999999,0.4829,0.4805,0.055,0.0,0.2689,0.5503999999999999,0.4829,0.520835,0.13756,0.072435,28.991975000000004,High,Greenwashing Risk
IDFC FIRST BANK LTD,0.768,0.4777,0.7329000000000001,0.0,0.0053,1.0,0.768,0.4724,-0.2670999999999999,0.11520000000000002,0.07616000000000002,0.89316,28.758760000000002,High,Greenwashing Risk | High Volatility
MRF LTD,0.1,0.1,0.1,0.0,1.0,0.5471,0.1,-0.9,-0.44710000000000005,0.015000000000000006,0.64,0.36826000000000003,28.706500000000002,High,High Volatility | Low Disclosure
RR KABEL LTD,0.7928000000000001,0.5924,0.6607999999999999,0.0,0.0,1.0,0.7928000000000001,0.5924,-0.33920000000000006,0.11892000000000005,0.08886000000000002,0.86432,28.595140000000004,Medium,Greenwashing Risk | High Volatility
